Gene	sgRNA	eff
TCERG1	s_55790	0.949
TCERG1	s_55791	0.151
MLL3	s_34103	1
MLL3	s_34104	0.943
INSL5	s_27594	0.453
INSL5	s_27595	1
INSL5	s_27596	1
INSL5	s_27597	0.588
UMOD	s_60598	0.594
UMOD	s_60599	1
UMOD	s_60600	0.697
UMOD	s_60601	1
KRT73	s_30140	0.335
KRT73	s_30141	1
MMP20	s_34217	0.402
MMP20	s_34218	0.885
MMP20	s_34219	0.01
MMP20	s_34220	0.603
GNPTG	s_23353	1
GNPTG	s_23354	0.624
GNPTG	s_23355	1
GNPTG	s_23356	0.543
SERGEF	s_49912	0.355
SERGEF	s_49913	0.01
TMEM168	s_57300	0.899
TMEM168	s_57301	0.816
TMEM168	s_57302	0.769
DLX1	s_16173	0.849
DLX1	s_16174	0.572
DLX1	s_16175	0.683
DLX1	s_16176	0.616
DLX1	s_16177	0.715
DLX1	s_16178	1
DLX1	s_16179	0.73
DLX1	s_16180	0.771
DLX1	s_16181	0.997
PRPH	s_44340	0.588
PRPH	s_44341	0.952
PRPH	s_44342	0.933
HBS1L	s_24811	0.571
HBS1L	s_24812	0.253
HBS1L	s_24813	0.465
HBS1L	s_24814	0.728
HBS1L	s_24815	0.997
SLC35A5	s_51716	0.461
SLC35A5	s_51717	0.313
SLC35A5	s_51718	0.455
SLC35A5	s_51719	0.896
SLC35A5	s_51720	0.688
SLC35A5	s_51721	0.7
GSX2	s_24363	0.509
GSX2	s_24364	0.57
GSX2	s_24365	0.714
GSX2	s_24366	0.872
GSX2	s_24367	0.828
GSX2	s_24368	0.595
TCHHL1	s_55871	0.734
TCHHL1	s_55872	0.991
TCHHL1	s_55873	0.646
TCHHL1	s_55874	1
TCHHL1	s_55875	1
TCHHL1	s_55876	0.735
HLA-B	s_25487	0.882
HLA-B	s_25488	0.786
HLA-B	s_25489	0.239
PINX1	s_42016	1
PINX1	s_42017	0.752
PINX1	s_42018	1
PINX1	s_42019	0.319
IGSF8	s_26951	0.871
IGSF8	s_26952	1
IGSF8	s_26953	0.966
IGSF8	s_26954	0.531
IGSF8	s_26955	0.744
IGSF8	s_26956	0.443
CS	s_13818	0.807
CS	s_13819	0.486
CS	s_13820	0.619
RPS4X	s_48319	0.168
RPS4X	s_48320	1
9-Sep	s_49896	0.734
9-Sep	s_49897	0.546
9-Sep	s_49898	0.606
9-Sep	s_49899	0.513
9-Sep	s_49900	0.838
9-Sep	s_49901	0.788
9-Sep	s_49902	1
9-Sep	s_49903	0.804
9-Sep	s_49904	1
9-Sep	s_49905	0.444
PLA2G3	s_42266	0.97
PLA2G3	s_42267	0.76
PLA2G3	s_42268	0.548
PLA2G3	s_42269	0.377
GBE1	s_22349	0.875
GBE1	s_22350	0.556
GBE1	s_22351	0.383
GPX8	s_23994	0.48
GPX8	s_23995	0.406
GPX8	s_23996	0.772
GPX8	s_23997	0.426
GPX8	s_23998	1
GPX8	s_23999	1
C2orf80	s_7742	0.652
C2orf80	s_7743	1
C2orf80	s_7744	1
C2orf80	s_7745	1
C2orf80	s_7746	0.453
C2orf80	s_7747	1
NSF	s_38020	0.68
NSF	s_38021	1
DDOST	s_15339	0.974
DDOST	s_15340	1
DDOST	s_15341	0.396
LYSMD4	s_32241	0.595
LYSMD4	s_32242	1
PCNA	s_40748	1
PCNA	s_40749	0.976
PCNA	s_40750	0.717
MAP3K11	s_32627	0.525
MAP3K11	s_32628	0.28
MAP3K11	s_32629	0.484
MAP3K11	s_32630	0.462
SOWAHA	s_53112	0.541
SOWAHA	s_53113	0.929
DTNBP1	s_16959	0.419
DTNBP1	s_16960	0.894
DTNBP1	s_16961	1
HSD3B1	s_26204	0.635
HSD3B1	s_26205	0.789
HSD3B1	s_26206	1
HSD3B1	s_26207	0.671
HSD3B1	s_26208	0.744
OR5AS1	s_39350	1
OR5AS1	s_39351	0.668
MAP4K1	s_32673	0.01
MAP4K1	s_32674	1
MAP4K1	s_32675	0.896
FAM207A	s_19802	0.785
FAM207A	s_19803	1
RELL2	s_46771	0.728
RELL2	s_46772	1
RELL2	s_46773	1
USH1C	s_60803	0.692
USH1C	s_60804	0.452
USH1C	s_60805	0.254
CLDN10	s_12138	0.411
CLDN10	s_12139	1
CLDN10	s_12140	0.645
CLDN10	s_12141	0.508
POGLUT1	s_42950	0.73
POGLUT1	s_42951	0.515
POGLUT1	s_42952	0.182
POGLUT1	s_42953	0.505
CLEC4F	s_12275	1
CLEC4F	s_12276	0.292
CLEC4F	s_12277	1
CLEC4F	s_12278	0.0833
KIAA1919	s_29351	0.78
KIAA1919	s_29352	0.264
KIAA1919	s_29353	0.889
KIAA1919	s_29354	1
PRDM15	s_43909	0.765
PRDM15	s_43910	1
PRDM15	s_43911	0.804
PRDM15	s_43912	0.902
ASTN2	s_4041	0.65
ASTN2	s_4042	1
ASTN2	s_4043	0.527
ASTN2	s_4044	0.656
ASTN2	s_4045	1
ASTN2	s_4046	1
ASTN2	s_4047	0.923
ASTN2	s_4048	0.977
PPP1R1C	s_43584	0.655
PPP1R1C	s_43585	1
PPP1R1C	s_43586	1
SNIP1	s_52783	0.831
SNIP1	s_52784	0.933
SNIP1	s_52785	0.781
SNIP1	s_52786	0.01
SNIP1	s_52787	0.585
SLC30A9	s_51672	0.879
SLC30A9	s_51673	0.31
SLC30A9	s_51674	0.865
SLC30A9	s_51675	0.879
SLC30A9	s_51676	0.515
UPK3A	s_60717	0.555
UPK3A	s_60718	0.765
UPK3A	s_60719	1
C2CD4D	s_7589	0.656
C2CD4D	s_7590	0.01
C2CD4D	s_7591	0.655
RASEF	s_46182	0.4
RASEF	s_46183	0.888
RASEF	s_46184	0.92
NODAL	s_37429	1
NODAL	s_37430	0.502
NODAL	s_37431	0.942
TMEFF2	s_57054	0.327
TMEFF2	s_57055	0.541
TMEFF2	s_57056	1
TMEFF2	s_57057	0.404
TMEFF2	s_57058	0.508
TMEFF2	s_57059	0.566
RAB22A	s_45621	0.393
RAB22A	s_45622	0.493
RAB22A	s_45623	0.732
UNC5D	s_60659	0.621
UNC5D	s_60660	0.455
UNC5D	s_60661	0.38
POP5	s_43177	1
POP5	s_43178	1
POP5	s_43179	0.135
POP5	s_43180	0.938
HOOK3	s_25801	0.856
HOOK3	s_25802	0.987
HOOK3	s_25803	0.844
PLEKHO2	s_42557	0.587
PLEKHO2	s_42558	0.487
PLEKHO2	s_42559	0.743
CHMP6	s_11733	1
CHMP6	s_11734	1
CHMP6	s_11735	0.597
CHMP6	s_11736	0.94
C14orf101	s_6401	0.833
C14orf101	s_6402	0.877
C14orf101	s_6403	0.527
C14orf101	s_6404	1
ATP5A1	s_4351	0.327
ATP5A1	s_4352	0.59
ATP5A1	s_4353	0.531
KCNG3	s_28607	0.365
KCNG3	s_28608	0.73
KCNG3	s_28609	0.889
KCNG3	s_28610	0.868
KCNG3	s_28611	0.606
KCNG3	s_28612	1
GATAD1	s_22313	0.355
GATAD1	s_22314	0.944
GATAD1	s_22315	0.827
EIF4G3	s_17882	1
EIF4G3	s_17883	1
EIF4G3	s_17884	0.661
EIF4G3	s_17885	0.333
EIF4G3	s_17886	0.716
VCP	s_61183	1
VCP	s_61184	0.864
VCP	s_61185	0.945
CMA1	s_12492	0.84
CMA1	s_12493	0.522
CMA1	s_12494	0.377
PLBD1	s_42353	0.735
PLBD1	s_42354	1
PLBD1	s_42355	0.416
PLBD1	s_42356	0.521
MAMDC2	s_32468	0.776
MAMDC2	s_32469	1
MAMDC2	s_32470	0.548
TAX1BP1	s_55484	0.889
TAX1BP1	s_55485	0.882
TAX1BP1	s_55486	0.524
TAX1BP1	s_55487	0.528
KIAA1211	s_29238	0.732
KIAA1211	s_29239	0.614
RAI14	s_45959	0.471
RAI14	s_45960	0.649
RAI14	s_45961	0.675
RAI14	s_45962	0.282
RAI14	s_45963	0.184
RAI14	s_45964	0.481
HMHB1	s_25649	0.619
HMHB1	s_25650	0.349
CTH	s_14144	1
CTH	s_14145	0.651
CTH	s_14146	0.705
CTH	s_14147	0.753
GAST	s_22291	0.779
GAST	s_22292	0.849
GAST	s_22293	1
OR11H4	s_38916	1
OR11H4	s_38917	0.897
STAM2	s_54214	1
STAM2	s_54215	0.356
STAM2	s_54216	1
STAM2	s_54217	0.354
HNRNPA3	s_25722	0.989
HNRNPA3	s_25723	0.865
RRNAD1	s_48459	1
RRNAD1	s_48460	0.687
RRNAD1	s_48461	0.543
RRNAD1	s_48462	1
RRNAD1	s_48463	0.566
RRNAD1	s_48464	1
ATRNL1	s_4578	0.585
ATRNL1	s_4579	1
ATRNL1	s_4580	0.39
ATRNL1	s_4581	0.454
THOC5	s_56524	0.651
THOC5	s_56525	1
THOC5	s_56526	0.397
ZNF766	s_64611	0.776
ZNF766	s_64612	0.503
ZNF766	s_64613	1
TUSC1	s_59876	0.969
TUSC1	s_59877	1
TET1	s_56138	0.375
TET1	s_56139	0.49
TET1	s_56140	0.383
TET1	s_56141	0.524
APOH	s_3052	1
APOH	s_3053	0.647
APOH	s_3054	0.882
APOH	s_3055	0.857
KLF4	s_29645	0.853
KLF4	s_29646	1
KLF4	s_29647	0.561
CYTIP	s_14857	0.786
CYTIP	s_14858	0.761
CYTIP	s_14859	0.558
CYTIP	s_14860	0.83
CYTIP	s_14861	0.449
CYTIP	s_14862	0.01
ABCC3	s_203	0.581
ABCC3	s_204	1
ABCC3	s_205	0.931
STAC3	s_54199	0.663
STAC3	s_54200	0.84
STAC3	s_54201	1
STAC3	s_54202	0.188
S100G	s_48861	0.761
S100G	s_48862	1
S100G	s_48863	0.28
S100G	s_48864	0.649
HTRA4	s_26428	1
HTRA4	s_26429	1
HTRA4	s_26430	0.53
HTRA4	s_26431	0.229
SEMA4F	s_49771	0.303
SEMA4F	s_49772	0.428
SEMA4F	s_49773	0.541
SEMA4F	s_49774	0.926
SEMA4F	s_49775	0.388
C9orf89	s_8537	0.937
C9orf89	s_8538	0.511
C9orf89	s_8539	1
CNTNAP5	s_12797	0.483
CNTNAP5	s_12798	0.523
CNTNAP5	s_12799	1
CNTNAP5	s_12800	0.375
COMMD1	s_13031	1
COMMD1	s_13032	0.467
COMMD1	s_13033	0.324
COMMD1	s_13034	0.491
COMMD1	s_13035	1
ABCD1	s_222	0.464
ABCD1	s_223	0.446
ABCD1	s_224	0.672
POLR2G	s_43075	0.657
POLR2G	s_43076	0.599
POLR2G	s_43077	0.684
EPHA4	s_18422	1
EPHA4	s_18423	0.498
EPHA4	s_18424	0.263
EPHA4	s_18425	0.853
EPHA4	s_18426	1
PCDH17	s_40501	0.382
PCDH17	s_40502	0.274
PCDH17	s_40503	0.955
PCDH17	s_40504	0.802
HEBP2	s_24999	0.796
HEBP2	s_25000	0.588
HEBP2	s_25001	0.642
HEBP2	s_25002	0.582
CENPJ	s_11207	1
CENPJ	s_11208	0.966
CENPJ	s_11209	1
CENPJ	s_11210	0.51
AHRR	s_1636	0.858
AHRR	s_1637	1
DIAPH2	s_15959	0.985
DIAPH2	s_15960	0.789
DIAPH2	s_15961	0.679
DIAPH2	s_15962	1
HIPK4	s_25337	0.616
HIPK4	s_25338	0.632
HIPK4	s_25339	0.723
HIPK4	s_25340	1
ASCL1	s_3918	0.787
ASCL1	s_3919	1
FBXO17	s_20498	0.974
FBXO17	s_20499	0.867
FBXO17	s_20500	0.608
FBXO17	s_20501	0.471
FBXO17	s_20502	0.654
FBXO17	s_20503	1
COX11	s_13196	0.682
COX11	s_13197	0.535
COX11	s_13198	0.606
ZSCAN21	s_64916	0.01
ZSCAN21	s_64917	0.75
ZSCAN21	s_64918	1
ZSCAN21	s_64919	1
UBN2	s_60297	0.32
UBN2	s_60298	0.478
UBN2	s_60299	1
UBN2	s_60300	0.433
SEC61A2	s_49666	0.607
SEC61A2	s_49667	0.531
SEC61A2	s_49668	0.216
SEC61A2	s_49669	1
DCTN4	s_15257	1
DCTN4	s_15258	0.792
DCTN4	s_15259	0.886
DCTN4	s_15260	0.697
DCTN4	s_15261	0.311
DENND1A	s_15630	0.594
DENND1A	s_15631	0.567
RAB11FIP2	s_45570	0.942
RAB11FIP2	s_45571	0.524
RAB11FIP2	s_45572	0.79
RAB11FIP2	s_45573	0.969
ZSWIM3	s_64950	1
ZSWIM3	s_64951	0.497
ZSWIM3	s_64952	0.508
LSM2	s_31949	0.515
LSM2	s_31950	0.952
LSM2	s_31951	1
FOXI2	s_21448	0.444
FOXI2	s_21449	0.925
FOXI2	s_21450	0.859
FOXI2	s_21451	0.76
ANK1	s_2384	0.398
ANK1	s_2385	0.72
ANK1	s_2386	1
ANK1	s_2387	0.973
ANK1	s_2388	0.814
ANK1	s_2389	0.853
ANK1	s_2390	1
ANK1	s_2391	0.439
ANK1	s_2392	0.863
ANK1	s_2393	0.983
ANK1	s_2394	1
ANK1	s_2395	0.945
DCT	s_15230	1
DCT	s_15231	0.666
DCT	s_15232	0.907
DCT	s_15233	0.687
B3GAT3	s_4766	1
B3GAT3	s_4767	0.697
B3GAT3	s_4768	0.493
PTEN	s_44948	1
PTEN	s_44949	0.469
PTEN	s_44950	0.632
KIAA0240	s_29108	0.909
KIAA0240	s_29109	0.0233
KIAA0240	s_29110	0.583
C1orf52	s_7320	1
C1orf52	s_7321	0.871
TULP2	s_59862	1
TULP2	s_59863	0.0981
TULP2	s_59864	0.968
TULP2	s_59865	1
CPNE7	s_13376	1
CPNE7	s_13377	0.699
CPNE7	s_13378	1
CPNE7	s_13379	0.315
ANKMY2	s_2455	1
ANKMY2	s_2456	0.616
RNF165	s_47616	0.801
RNF165	s_47617	0.759
RNF165	s_47618	1
RNF165	s_47619	0.744
RNF165	s_47620	0.636
RNF165	s_47621	0.907
RNF165	s_47622	0.662
KIDINS220	s_29377	0.673
KIDINS220	s_29378	0.402
KIDINS220	s_29379	0.421
KIDINS220	s_29380	1
ZNF720	s_64555	0.74
ZNF720	s_64556	0.776
ZNF720	s_64557	0.579
ZNF720	s_64558	0.321
VPS35	s_61375	0.479
VPS35	s_61376	0.279
VPS35	s_61377	0.306
C7orf50	s_8268	0.746
C7orf50	s_8269	0.62
C7orf50	s_8270	1
STBD1	s_54318	1
STBD1	s_54319	0.909
STBD1	s_54320	0.607
STBD1	s_54321	0.439
ART3	s_3775	0.0249
ART3	s_3776	0.72
NUDC	s_38218	0.42
NUDC	s_38219	1
PPP1R3C	s_43617	0.834
PPP1R3C	s_43618	0.734
PPP1R3C	s_43619	0.768
AK7	s_1741	0.12
AK7	s_1742	0.502
AK7	s_1743	0.501
AK7	s_1744	1
PANK3	s_40165	0.728
PANK3	s_40166	0.543
CCNC	s_10026	0.378
CCNC	s_10027	0.162
CCNC	s_10028	1
CCNC	s_10029	0.01
CCNC	s_10030	1
CACNB1	s_8726	0.741
CACNB1	s_8727	0.791
CACNB1	s_8728	1
CACNB1	s_8729	0.943
APOBEC3D	s_3007	0.996
APOBEC3D	s_3008	0.615
WRAP53	s_62127	0.767
WRAP53	s_62128	0.159
WRAP53	s_62129	0.415
WRAP53	s_62130	0.947
C10orf128	s_6071	0.969
C10orf128	s_6072	0.526
C10orf128	s_6073	0.754
HPS5	s_26027	0.947
HPS5	s_26028	1
HPS5	s_26029	0.901
HPS5	s_26030	0.825
HPS5	s_26031	0.987
HPS5	s_26032	1
KRTAP20-1	s_30244	0.689
KRTAP20-1	s_30245	0.631
BPIFB4	s_5675	0.654
BPIFB4	s_5676	0.473
BPIFB4	s_5677	0.337
BPIFB4	s_5678	0.971
SPAST	s_53310	0.998
SPAST	s_53311	0.438
SPAST	s_53312	0.928
FAR1	s_20301	1
FAR1	s_20302	0.673
PPFIA1	s_43354	0.168
PPFIA1	s_43355	0.918
PPFIA1	s_43356	0.919
PKP2	s_42212	1
PKP2	s_42213	0.377
MX2	s_35473	0.814
MX2	s_35474	0.683
MX2	s_35475	1
UBA5	s_60062	0.464
UBA5	s_60063	1
UBA5	s_60064	1
UBA5	s_60065	1
UBA5	s_60066	0.306
UBA5	s_60067	0.645
CALU	s_8885	0.727
CALU	s_8886	0.987
CALU	s_8887	0.512
CALU	s_8888	1
CALU	s_8889	1
CALU	s_8890	0.738
CALU	s_8891	1
CALU	s_8892	0.629
WDR5B	s_61783	0.358
WDR5B	s_61784	0.311
WDR5B	s_61785	0.515
KRTAP12-2	s_30213	0.536
KRTAP12-2	s_30214	1
KRT40	s_30118	0.867
KRT40	s_30119	1
KRT40	s_30120	0.728
ULK1	s_60587	0.692
ULK1	s_60588	0.578
ULK1	s_60589	0.521
LDHD	s_30735	0.956
LDHD	s_30736	1
LDHD	s_30737	0.918
LDHD	s_30738	0.745
HDAC10	s_24885	1
HDAC10	s_24886	0.441
HDAC10	s_24887	1
HDAC10	s_24888	0.699
TESPA1	s_56133	0.841
TESPA1	s_56134	0.479
TESPA1	s_56135	0.382
TESPA1	s_56136	0.57
TESPA1	s_56137	0.268
ANKFY1	s_2419	0.441
ANKFY1	s_2420	0.593
ANKFY1	s_2421	1
ANKFY1	s_2422	0.507
ANKFY1	s_2423	0.252
XKR6	s_62256	0.565
XKR6	s_62257	1
PROL1	s_44265	0.913
PROL1	s_44266	1
PROL1	s_44267	0.0603
CD320	s_10386	1
CD320	s_10387	0.704
CD320	s_10388	0.864
CD320	s_10389	0.686
CD320	s_10390	0.495
CD320	s_10391	1
FHL5	s_21053	0.895
FHL5	s_21054	0.311
FHL5	s_21055	0.647
FHL5	s_21056	1
FAM161B	s_19523	0.388
FAM161B	s_19524	1
FAM161B	s_19525	0.747
SERPINA9	s_49977	0.692
SERPINA9	s_49978	0.563
SERPINA9	s_49979	0.688
SERPINA9	s_49980	1
SERPINA9	s_49981	0.879
SERPINA9	s_49982	0.812
LHX4	s_30980	0.41
LHX4	s_30981	0.742
LHX4	s_30982	0.334
NAA16	s_35896	0.462
NAA16	s_35897	0.408
NAA16	s_35898	0.947
NAA16	s_35899	1
SLC26A4	s_51511	1
SLC26A4	s_51512	0.867
SLC26A4	s_51513	0.0799
SLC26A4	s_51514	1
GTPBP5	s_24468	0.822
GTPBP5	s_24469	0.752
GTPBP5	s_24470	0.954
GTPBP5	s_24471	0.77
PTPRK	s_45213	0.985
PTPRK	s_45214	0.586
PTPRK	s_45215	0.739
PTPRK	s_45216	0.473
C6orf72	s_8212	0.441
C6orf72	s_8213	0.763
C6orf72	s_8214	0.01
C10orf107	s_6035	0.913
C10orf107	s_6036	0.349
C10orf107	s_6037	0.645
PLP1	s_42627	1
PLP1	s_42628	0.291
PLP1	s_42629	0.761
PLP1	s_42630	0.466
PLP1	s_42631	0.678
CCDC9	s_9870	1
CCDC9	s_9871	0.676
CCDC9	s_9872	0.837
GTF3A	s_24427	0.655
GTF3A	s_24428	0.868
GTF3A	s_24429	1
CRCT1	s_13531	0.987
CRCT1	s_13532	0.674
CRCT1	s_13533	0.823
BNC1	s_5574	1
BNC1	s_5575	0.713
BNC1	s_5576	0.548
LSM14A	s_31942	0.818
LSM14A	s_31943	0.936
LSM14A	s_31944	1
RBKS	s_46357	0.738
RBKS	s_46358	0.504
RBKS	s_46359	0.711
FGF13	s_20901	1
FGF13	s_20902	0.68
FGF13	s_20903	1
FGF13	s_20904	1
GLYATL1	s_23113	0.0731
GLYATL1	s_23114	0.965
GLYATL1	s_23115	1
GLYATL1	s_23116	0.921
GLYATL1	s_23117	0.378
PRKACG	s_44068	0.898
PRKACG	s_44069	0.661
TECRL	s_56033	1
TECRL	s_56034	1
TECRL	s_56035	0.994
EXOC3	s_18951	1
EXOC3	s_18952	0.709
EXOC3	s_18953	1
EXOC3	s_18954	0.539
GP5	s_23477	0.855
GP5	s_23478	1
GP5	s_23479	1
HMBOX1	s_25570	0.721
HMBOX1	s_25571	1
HMBOX1	s_25572	0.0935
HMBOX1	s_25573	0.783
IQCF1	s_27757	0.628
IQCF1	s_27758	1
IQCF1	s_27759	0.426
IQCF1	s_27760	0.594
IQCF1	s_27761	0.297
BCAS4	s_5110	0.921
BCAS4	s_5111	0.01
BCAS4	s_5112	0.481
BCAS4	s_5113	0.668
NKD2	s_37112	1
NKD2	s_37113	0.63
NKD2	s_37114	0.719
NKD2	s_37115	1
CAPS	s_9069	1
CAPS	s_9070	0.972
CAPS	s_9071	0.618
CAPS	s_9072	1
MED7	s_33417	1
MED7	s_33418	0.01
OR6C4	s_39439	0.655
OR6C4	s_39440	0.318
PYCRL	s_45426	0.924
PYCRL	s_45427	0.896
PYCRL	s_45428	0.623
PYCRL	s_45429	0.236
FBXL4	s_20466	0.367
FBXL4	s_20467	0.511
FBXL4	s_20468	1
FBXL4	s_20469	0.387
C13orf35	s_6394	0.352
C13orf35	s_6395	0.777
C13orf35	s_6396	1
OR51M1	s_39273	0.616
OR51M1	s_39274	0.727
TRMT2A	s_59109	0.752
TRMT2A	s_59110	0.686
TRMT2A	s_59111	0.582
FTSJD2	s_21747	0.457
FTSJD2	s_21748	1
FTSJD2	s_21749	0.59
KIAA0753	s_29166	0.729
KIAA0753	s_29167	0.165
KIAA0753	s_29168	0.763
KIAA0753	s_29169	0.345
FES	s_20817	0.341
FES	s_20818	0.632
FES	s_20819	0.939
FES	s_20820	0.791
GCFC1	s_22431	0.519
GCFC1	s_22432	0.994
GCFC1	s_22433	0.647
CTNNA3	s_14168	0.573
CTNNA3	s_14169	0.87
CTNNA3	s_14170	1
CTNNA3	s_14171	0.01
MYL3	s_35644	0.784
MYL3	s_35645	1
MYL3	s_35646	1
MYL3	s_35647	1
CACNG3	s_8749	0.964
CACNG3	s_8750	0.691
CACNG3	s_8751	0.27
CACNG3	s_8752	0.885
TM7SF3	s_56900	0.983
TM7SF3	s_56901	1
TM7SF3	s_56902	0.615
TM7SF3	s_56903	0.564
UGT2B7	s_60533	1
UGT2B7	s_60534	0.803
UGT2B7	s_60535	1
UGT2B7	s_60536	0.971
UGT2B7	s_60537	0.652
UGT2B7	s_60538	0.555
MGA	s_33786	0.764
MGA	s_33787	0.811
MGA	s_33788	1
MGA	s_33789	0.623
RNF128	s_47546	1
RNF128	s_47547	1
RNF128	s_47548	0.864
RNF128	s_47549	0.96
SPRR2F	s_53685	0.575
SPRR2F	s_53686	0.914
SPRR2F	s_53687	0.85
BCL2	s_5157	0.754
BCL2	s_5158	1
BCL2	s_5159	1
BCL2	s_5160	0.656
SENP5	s_49820	0.544
SENP5	s_49821	0.186
SENP5	s_49822	0.471
SENP5	s_49823	0.87
PSMB5	s_44724	0.909
PSMB5	s_44725	0.136
PSMB5	s_44726	0.477
PSMB5	s_44727	0.865
PSMB5	s_44728	0.955
PSMB5	s_44729	0.254
PSMB5	s_44730	0.893
C2orf28	s_7607	0.418
C2orf28	s_7608	1
C2orf28	s_7609	0.943
KLHDC1	s_29667	0.264
KLHDC1	s_29668	0.636
KLHDC1	s_29669	0.415
KLHDC1	s_29670	0.343
FBXO4	s_20565	0.159
FBXO4	s_20566	0.893
FBXO4	s_20567	1
FBXO4	s_20568	0.474
DMC1	s_16217	0.682
DMC1	s_16218	0.273
DMC1	s_16219	1
DMC1	s_16220	0.502
FATE1	s_20369	0.564
FATE1	s_20370	0.0341
FATE1	s_20371	0.593
FATE1	s_20372	0.319
OR1L6	s_38996	0.308
OR1L6	s_38997	0.274
C12orf45	s_6323	0.911
C12orf45	s_6324	0.543
C12orf45	s_6325	0.765
CAMSAP2	s_8956	0.316
CAMSAP2	s_8957	0.451
CAMSAP2	s_8958	0.972
CAMSAP2	s_8959	0.55
CAMSAP2	s_8960	0.598
CAMSAP2	s_8961	1
SPINK13	s_53537	0.851
SPINK13	s_53538	0.612
SPINK13	s_53539	0.468
PDE11A	s_40894	0.963
PDE11A	s_40895	0.734
PDE11A	s_40896	0.357
PDE11A	s_40897	0.654
PDE11A	s_40898	0.331
PDE11A	s_40899	0.581
PDE11A	s_40900	0.778
PPP1R15B	s_43556	0.895
PPP1R15B	s_43557	0.231
PPP1R15B	s_43558	1
PPP1R15B	s_43559	0.0926
PPP1R15B	s_43560	0.741
TECTB	s_56040	0.457
TECTB	s_56041	0.771
TECTB	s_56042	0.01
TECTB	s_56043	1
HIVEP3	s_25458	0.01
HIVEP3	s_25459	0.686
HIVEP3	s_25460	1
HIVEP3	s_25461	0.929
SLC47A1	s_51992	0.498
SLC47A1	s_51993	0.449
SLC47A1	s_51994	1
SLC47A1	s_51995	0.832
SDHD	s_49542	0.699
SDHD	s_49543	0.648
SGCA	s_50279	0.415
SGCA	s_50280	0.844
SGCA	s_50281	1
SGCA	s_50282	0.791
ATP13A1	s_4259	0.934
ATP13A1	s_4260	0.946
ATP13A1	s_4261	1
CPEB2	s_13317	0.728
CPEB2	s_13318	1
CPEB2	s_13319	0.745
DUSP3	s_17090	1
DUSP3	s_17091	0.903
DUSP3	s_17092	1
DUSP3	s_17093	1
ACRBP	s_718	0.659
ACRBP	s_719	0.834
ACRBP	s_720	0.01
ACRBP	s_721	0.222
TGIF1	s_56370	0.342
TGIF1	s_56371	1
TGIF1	s_56372	0.614
TGIF1	s_56373	0.784
ACTR3	s_858	0.178
ACTR3	s_859	1
CCRL2	s_10155	1
CCRL2	s_10156	0.997
CCRL2	s_10157	1
GABRA2	s_21964	1
GABRA2	s_21965	0.905
GABRA2	s_21966	0.989
FAM200A	s_19789	0.105
FAM200A	s_19790	0.672
HAPLN2	s_24705	0.853
HAPLN2	s_24706	0.71
HAPLN2	s_24707	0.721
HAPLN2	s_24708	0.01
HAPLN2	s_24709	0.913
PFN1	s_41427	1
PFN1	s_41428	0.852
GTF2F2	s_24403	1
GTF2F2	s_24404	0.713
GTF2F2	s_24405	0.299
ANKRD28	s_2523	1
ANKRD28	s_2524	0.543
ANKRD28	s_2525	0.725
KIAA1462	s_29292	0.439
KIAA1462	s_29293	0.906
KIAA1462	s_29294	0.848
FGF23	s_20932	0.256
FGF23	s_20933	1
C19orf10	s_6879	0.681
C19orf10	s_6880	0.887
C19orf10	s_6881	0.811
NR3C2	s_37845	0.612
NR3C2	s_37846	0.512
NR3C2	s_37847	0.523
NR3C2	s_37848	0.492
NR3C2	s_37849	0.891
NR3C2	s_37850	1
BBS1	s_5040	0.85
BBS1	s_5041	0.757
BBS1	s_5042	1
BBS1	s_5043	1
CRTAP	s_13719	0.992
CRTAP	s_13720	1
CRTAP	s_13721	0.692
CRTAP	s_13722	0.542
CRTAP	s_13723	0.207
CRTAP	s_13724	0.809
ONECUT1	s_38761	0.772
ONECUT1	s_38762	0.461
ONECUT1	s_38763	1
C11orf16	s_6155	1
C11orf16	s_6156	0.734
C11orf16	s_6157	0.746
C11orf16	s_6158	0.723
SLC1A4	s_51185	0.688
SLC1A4	s_51186	1
SLC1A4	s_51187	0.752
SLC1A4	s_51188	0.226
SLC1A4	s_51189	0.61
SLC1A4	s_51190	0.702
SLC1A4	s_51191	0.552
ZBTB41	s_62635	0.972
ZBTB41	s_62636	0.182
ZBTB41	s_62637	0.42
ZBTB41	s_62638	0.789
ZBTB41	s_62639	0.838
ZBTB41	s_62640	0.248
MRPL14	s_34652	1
MRPL14	s_34653	0.873
MRPL14	s_34654	0.229
LPCAT1	s_31386	0.397
LPCAT1	s_31387	0.455
LPCAT1	s_31388	1
LPCAT1	s_31389	0.947
LPCAT1	s_31390	1
LPCAT1	s_31391	1
C10orf62	s_6116	0.793
C10orf62	s_6117	0.872
MAGOH	s_32441	0.346
MAGOH	s_32442	0.469
NFIL3	s_36871	0.549
NFIL3	s_36872	0.885
RNFT2	s_47795	1
RNFT2	s_47796	0.361
RNFT2	s_47797	0.946
CCDC93	s_9885	1
CCDC93	s_9886	1
CCDC93	s_9887	1
CCDC93	s_9888	0.01
CCDC93	s_9889	0.317
PYGL	s_45436	0.934
PYGL	s_45437	0.763
PYGL	s_45438	1
PDHA2	s_41066	1
PDHA2	s_41067	0.89
DOT1L	s_16680	0.414
DOT1L	s_16681	1
DOT1L	s_16682	1
