Gene	sgRNA	eff
TBPL2	s_55665	0.938
TBPL2	s_55666	0.555
ROS1	s_47882	0.793
ROS1	s_47883	1
ROS1	s_47884	0.908
ROS1	s_47885	0.969
MTPN	s_35311	0.961
MTPN	s_35312	1
MTPN	s_35313	0.763
EFTUD2	s_17611	1
EFTUD2	s_17612	0.674
PRMT5	s_44215	0.34
PRMT5	s_44216	1
PRMT5	s_44217	1
TTC23	s_59546	1
TTC23	s_59547	0.803
TTC23	s_59548	0.947
HSD17B14	s_26180	0.573
HSD17B14	s_26181	0.694
HSD17B14	s_26182	0.911
HSD17B14	s_26183	0.431
GUCY2F	s_24522	0.212
GUCY2F	s_24523	0.134
GUCY2F	s_24524	0.732
GUCY2F	s_24525	0.498
BOLA3	s_5622	1
BOLA3	s_5623	0.783
BOLA3	s_5624	0.379
BOLA3	s_5625	0.37
OR10H4	s_38869	0.958
OR10H4	s_38870	0.542
HSD11B1L	s_26149	1
HSD11B1L	s_26150	1
HSD11B1L	s_26151	0.7
HSD11B1L	s_26152	0.807
HSD11B1L	s_26153	0.691
HSD11B1L	s_26154	1
HSD11B1L	s_26155	1
HSD11B1L	s_26156	0.415
E2F7	s_17253	0.961
E2F7	s_17254	1
E2F7	s_17255	1
POU2AF1	s_43215	0.95
POU2AF1	s_43216	0.612
POU2AF1	s_43217	0.987
PTPN7	s_45163	0.86
PTPN7	s_45164	0.692
PTPN7	s_45165	0.846
PTPN7	s_45166	0.739
PTPN7	s_45167	0.994
PTPN7	s_45168	1
MRPS11	s_34811	1
MRPS11	s_34812	0.745
MRPS11	s_34813	0.204
FRAT1	s_21566	0.404
FRAT1	s_21567	1
PI15	s_41775	0.763
PI15	s_41776	1
PI15	s_41777	0.44
CYP2R1	s_14740	0.687
CYP2R1	s_14741	0.355
CYP2R1	s_14742	0.895
CYP2R1	s_14743	0.736
RRAGC	s_48423	0.535
RRAGC	s_48424	0.46
RRAGC	s_48425	0.464
RP11-528L24.3	s_47949	1
RP11-528L24.3	s_47950	0.646
RP11-528L24.3	s_47951	0.822
RP11-528L24.3	s_47952	1
UTS2	s_61034	0.483
UTS2	s_61035	0.753
UTS2	s_61036	0.531
UTS2	s_61037	0.817
UTS2	s_61038	0.834
AC100788.1	s_480	0.412
AC100788.1	s_481	1
AC100788.1	s_482	0.202
TSPAN1	s_59367	0.778
TSPAN1	s_59368	0.525
TSPAN1	s_59369	0.605
TSPAN1	s_59370	1
C1orf187	s_7219	0.811
C1orf187	s_7220	1
C1orf187	s_7221	0.995
C1orf187	s_7222	0.746
CHD9	s_11618	0.123
CHD9	s_11619	0.826
CHD9	s_11620	0.47
CHD9	s_11621	0.26
AMBRA1	s_2189	1
AMBRA1	s_2190	0.33
AMBRA1	s_2191	0.8
AMBRA1	s_2192	0.873
CHRNA1	s_11803	0.55
CHRNA1	s_11804	0.378
CHRNA1	s_11805	0.959
CHRNA1	s_11806	1
HDDC2	s_24928	1
HDDC2	s_24929	0.631
HDDC2	s_24930	0.762
HDDC2	s_24931	0.912
CDR2	s_11003	1
CDR2	s_11004	0.626
PRAMEF4	s_43845	1
PRAMEF4	s_43846	0.385
PRAMEF4	s_43847	0.681
PRAMEF4	s_43848	0.46
PRAMEF4	s_43849	0.616
TROVE2	s_59158	0.862
TROVE2	s_59159	0.563
TROVE2	s_59160	0.518
TROVE2	s_59161	1
SACS	s_48907	0.849
SACS	s_48908	0.429
SACS	s_48909	1
SACS	s_48910	1
OR4N5	s_39226	0.615
OR4N5	s_39227	0.271
ECM2	s_17360	1
ECM2	s_17361	0.753
ECM2	s_17362	0.585
ECM2	s_17363	0.494
OBFC1	s_38557	0.01
OBFC1	s_38558	0.413
OBFC1	s_38559	0.917
TMEM141	s_57207	1
TMEM141	s_57208	0.921
TMEM141	s_57209	0.886
MED6	s_33414	0.87
MED6	s_33415	0.641
MED6	s_33416	0.862
VASP	s_61136	0.884
VASP	s_61137	0.917
VASP	s_61138	0.802
LLGL2	s_31194	0.601
LLGL2	s_31195	0.553
LLGL2	s_31196	0.949
CHUK	s_11926	0.387
CHUK	s_11927	1
CHUK	s_11928	1
CHUK	s_11929	0.01
SLC4A1AP	s_52012	0.819
SLC4A1AP	s_52013	0.471
SLC4A1AP	s_52014	1
SLC4A1AP	s_52015	0.952
RAB6B	s_45767	0.615
RAB6B	s_45768	0.519
RAB6B	s_45769	0.689
PLSCR5	s_42663	0.24
PLSCR5	s_42664	1
PLSCR5	s_42665	0.894
PLSCR5	s_42666	0.793
TPSD1	s_58606	0.676
TPSD1	s_58607	0.582
TPSD1	s_58608	0.83
GLDC	s_22955	0.402
GLDC	s_22956	0.661
AGA	s_1450	0.516
AGA	s_1451	0.739
AGA	s_1452	0.431
IFNGR1	s_26737	0.274
IFNGR1	s_26738	0.696
IFNGR1	s_26739	0.0814
CGNL1	s_11509	0.64
CGNL1	s_11510	0.759
CGNL1	s_11511	1
CGNL1	s_11512	0.735
ZC2HC1A	s_62700	0.783
ZC2HC1A	s_62701	0.449
ZC2HC1A	s_62702	1
DUSP12	s_17035	0.794
DUSP12	s_17036	1
DUSP12	s_17037	0.766
DUSP12	s_17038	0.972
DUSP12	s_17039	0.906
TMEM55B	s_57706	0.92
TMEM55B	s_57707	0.584
TMEM55B	s_57708	1
TMEM55B	s_57709	0.229
CBFB	s_9320	1
CBFB	s_9321	1
CBFB	s_9322	0.954
CBFB	s_9323	1
TBC1D14	s_55519	0.0166
TBC1D14	s_55520	0.977
TBC1D14	s_55521	1
TBC1D14	s_55522	0.758
TBC1D14	s_55523	0.124
TBC1D14	s_55524	0.67
TBC1D14	s_55525	0.518
TBC1D14	s_55526	0.521
PC	s_40453	0.862
PC	s_40454	0.992
PC	s_40455	0.832
PAPPA2	s_40207	0.873
PAPPA2	s_40208	0.986
PAPPA2	s_40209	1
PAPPA2	s_40210	0.351
SERP1	s_49937	0.271
SERP1	s_49938	0.128
SERP1	s_49939	0.26
TLCD1	s_56766	0.963
TLCD1	s_56767	0.882
TLCD1	s_56768	0.876
TLCD1	s_56769	1
TLCD1	s_56770	1
IFNE	s_26732	1
IFNE	s_26733	0.369
HINT3	s_25318	0.735
HINT3	s_25319	0.19
HINT3	s_25320	0.781
SNAP47	s_52728	0.699
SNAP47	s_52729	1
SNAP47	s_52730	0.559
SNAP47	s_52731	1
SNAP47	s_52732	1
TGFB1	s_56333	0.858
TGFB1	s_56334	0.131
TGFB1	s_56335	0.415
CEP85L	s_11344	0.305
CEP85L	s_11345	0.734
CEP85L	s_11346	0.732
CEP85L	s_11347	0.758
SSX2IP	s_54063	0.644
SSX2IP	s_54064	0.584
SSX2IP	s_54065	0.104
SSX2IP	s_54066	0.719
H1F0	s_24596	0.475
H1F0	s_24597	0.478
CYP46A1	s_14770	0.729
CYP46A1	s_14771	0.667
CYP46A1	s_14772	0.944
CYP46A1	s_14773	0.01
DLK1	s_16152	0.274
DLK1	s_16153	1
AP1G2	s_2789	1
AP1G2	s_2790	0.6
AP1G2	s_2791	0.59
GXYLT1	s_24543	0.871
GXYLT1	s_24544	0.958
GXYLT1	s_24545	0.689
STX12	s_54562	0.957
STX12	s_54563	0.401
RNASE1	s_47447	0.923
RNASE1	s_47448	0.656
RBM14-RBM4	s_46386	0.707
RBM14-RBM4	s_46388	0.621
RBM14-RBM4	s_46389	0.421
OR5D13	s_39366	1
OR5D13	s_39367	0.691
KCNK15	s_28739	1
KCNK15	s_28740	1
KCNK15	s_28741	1
CIT	s_12010	0.106
CIT	s_12011	0.724
CIT	s_12012	1
GDPGP1	s_22582	0.634
GDPGP1	s_22583	0.364
AGTPBP1	s_1572	0.959
AGTPBP1	s_1573	0.185
AGTPBP1	s_1574	0.812
ADAMTS16	s_1042	1
ADAMTS16	s_1043	0.953
KLHL2	s_29739	0.692
KLHL2	s_29740	0.01
KLHL2	s_29741	0.986
KLHL2	s_29742	1
MFHAS1	s_33708	0.911
MFHAS1	s_33709	0.546
MFHAS1	s_33710	0.557
LILRB3	s_31041	0.54
LILRB3	s_31042	1
LILRB3	s_31043	0.964
LILRB3	s_31044	1
INS-IGF2	s_27573	1
INS-IGF2	s_27574	0.272
INS-IGF2	s_27575	0.907
LONRF1	s_31325	0.706
LONRF1	s_31326	0.707
LONRF1	s_31327	1
CYC1	s_14602	1
CYC1	s_14603	1
CYC1	s_14604	0.476
CYC1	s_14605	0.917
ME2	s_33300	0.137
ME2	s_33301	0.0241
METTL21A	s_33603	0.954
METTL21A	s_33604	0.164
METTL21A	s_33605	0.611
METTL21A	s_33606	0.325
METTL21A	s_33607	0.479
METTL21A	s_33608	0.428
SDCBP2	s_49491	0.649
SDCBP2	s_49492	0.894
SDCBP2	s_49493	0.96
SDCBP2	s_49494	1
SDCBP2	s_49495	0.674
SDCBP2	s_49496	1
SDCBP2	s_49497	0.899
CES5A	s_11425	0.492
CES5A	s_11426	0.707
CES5A	s_11427	1
CES5A	s_11428	0.417
CES5A	s_11429	0.694
MAPK1	s_32716	1
MAPK1	s_32717	0.643
BPHL	s_5645	0.292
BPHL	s_5646	0.719
BPHL	s_5647	0.704
BPHL	s_5648	0.723
PCSK7	s_40796	0.285
PCSK7	s_40797	0.308
PCSK7	s_40798	0.497
PCSK7	s_40799	0.786
EMC4	s_18089	0.848
EMC4	s_18090	1
EMC4	s_18091	0.85
EMC4	s_18092	0.767
AK1	s_1726	0.736
AK1	s_1727	1
AK1	s_1728	0.976
ST3GAL1	s_54085	0.499
ST3GAL1	s_54086	0.839
ST3GAL1	s_54087	0.514
WWC3	s_62179	0.988
WWC3	s_62180	0.446
WWC3	s_62181	0.964
PTPRE	s_45189	0.819
PTPRE	s_45190	0.558
PTPRE	s_45191	0.685
SLC12A5	s_50992	1
SLC12A5	s_50993	0.604
SLC12A5	s_50994	0.244
SLC12A5	s_50995	1
SLC12A5	s_50996	1
SLC12A5	s_50997	0.945
DIO3	s_15997	0.891
DIO3	s_15998	0.941
IFT74	s_26785	0.826
IFT74	s_26786	1
IFT74	s_26787	1
IFT74	s_26788	0.375
STAMBP	s_54218	0.159
STAMBP	s_54219	0.349
STAMBP	s_54220	0.181
TAF1D	s_55252	0.706
TAF1D	s_55253	0.185
TAF1D	s_55254	0.352
TAF1D	s_55255	0.889
RSF1	s_48514	0.425
RSF1	s_48515	0.677
RSF1	s_48516	0.468
SERPINE2	s_50034	0.631
SERPINE2	s_50035	0.941
SERPINE2	s_50036	0.864
SERPINE2	s_50037	0.759
ERGIC2	s_18634	0.449
ERGIC2	s_18635	0.735
KBTBD12	s_28467	0.99
KBTBD12	s_28468	1
KBTBD12	s_28469	0.516
KBTBD12	s_28470	1
CYTH4	s_14853	0.726
CYTH4	s_14854	0.29
CYTH4	s_14855	0.193
CYTH4	s_14856	0.929
AXDND1	s_4696	0.01
AXDND1	s_4697	0.862
AXDND1	s_4698	0.33
AXDND1	s_4699	0.399
AXDND1	s_4700	1
AXDND1	s_4701	0.698
RABGGTB	s_45831	0.73
RABGGTB	s_45832	0.467
RABGGTB	s_45833	0.771
RABGGTB	s_45834	0.888
P4HB	s_39947	1
P4HB	s_39948	0.844
P4HB	s_39949	0.57
SMOC2	s_52624	1
SMOC2	s_52625	0.467
SMOC2	s_52626	1
TRIP6	s_59081	0.713
TRIP6	s_59082	0.839
TRIP6	s_59083	0.37
TRIP6	s_59084	0.545
RHOXF2B	s_47256	0.825
RHOXF2B	s_47257	1
TTLL10	s_59683	1
TTLL10	s_59684	1
TTLL10	s_59685	0.971
TTLL10	s_59686	1
TTLL10	s_59687	0.983
PLEC	s_42445	0.753
PLEC	s_42446	1
